datetime,Unnamed: 0,open,high,low,close,volume,Hurst,ADX,donchian_percentage,Trend
2019-09-08,0,10000.0,10412.65,10000.0,10391.63,3096.291,,,,-1
2019-09-09,1,10316.62,10475.54,10077.22,10307.0,14824.373,,,,-1
2019-09-10,2,10307.0,10382.97,9940.87,10102.02,9068.955,,,,-1
2019-09-11,3,10094.27,10293.11,9884.31,10159.55,10897.922,,,,-1
2019-09-12,4,10163.06,10450.13,10042.12,10415.13,15609.634,,,,-1
2019-09-13,5,10414.96,10440.55,10153.51,10341.34,19252.721,,,,-1
2019-09-14,6,10343.01,10419.97,10222.77,10332.25,20656.624,,,,-1
2019-09-15,7,10333.47,10359.2,10024.81,10302.22,20536.255,,,,-1
2019-09-16,8,10302.0,10353.81,10080.7,10249.27,20185.637,,,,-1
2019-09-17,9,10257.3,10270.63,10136.77,10186.52,22519.607,,,,-1
2019-09-18,10,10183.87,10256.65,10097.92,10155.16,20832.895,,,,-1
2019-09-19,11,10154.7,10331.62,9530.02,10245.3,26228.754,,,,-1
2019-09-20,12,10247.7,10279.3,10070.5,10166.35,23265.91,,,,-1
2019-09-21,13,10166.56,10175.3,9912.63,9983.33,23642.387,,,,-1
2019-09-22,14,9992.7,10089.52,9857.0,10023.04,23916.354,,,,-1
2019-09-23,15,10027.69,10046.91,9620.0,9701.96,31927.062,,,,-1
2019-09-24,16,9701.1,9792.83,8645.61,8645.61,29758.535,,,,-1
2019-09-25,17,8493.32,8725.24,8200.0,8430.07,48222.102,,,,-1
2019-09-26,18,8428.15,8464.4,7700.67,8060.15,60065.945,,,,-1
2019-09-27,19,8061.98,8260.0,7851.94,8176.52,40034.653,,,30.532987900117803,-1
2019-09-28,20,8178.26,8311.0,8001.14,8195.38,33820.919,,,30.532987900117803,-1
2019-09-29,21,8199.0,8226.35,7888.98,8041.96,35966.056,,,30.29574454018555,-1
2019-09-30,22,8042.08,8331.89,7709.01,8285.84,54412.52,,,30.29574454018555,-1
2019-10-01,23,8285.31,8499.0,8171.0,8290.0,39212.804,,,30.29574454018555,-1
2019-10-02,24,8290.0,8365.92,8149.35,8352.14,30329.179,,,30.206127261562333,-1
2019-10-03,25,8353.4,8386.0,8020.0,8220.27,33430.23,,,30.013288713864405,-1
2019-10-04,26,8219.95,8227.42,7979.95,8130.56,28421.111,,,29.44129719649145,-1
2019-10-05,27,8130.0,8175.0,8010.0,8122.14,30262.006,,84.95235844796161,29.39037845454424,-1
2019-10-06,28,8122.01,8148.43,7760.0,7852.79,41909.039,,84.65742148364014,29.18043132624864,-1
2019-10-07,29,7851.01,8330.0,7764.42,8186.88,62760.299,,82.73734865940354,29.18043132624864,-1
2019-10-08,30,8188.55,8322.01,8103.88,8167.62,44715.165,,81.06724125156687,29.18043132624864,-1
2019-10-09,31,8168.33,8700.0,8113.0,8559.77,65453.643,,76.76104970815749,28.68336265299663,-1
2019-10-10,32,8559.77,8640.89,8419.34,8556.02,44285.668,,72.96931967378134,27.686665394940796,-1
2019-10-11,33,8557.0,8788.0,8210.0,8255.58,69157.964,,70.21035120722945,26.85581210768407,-1
2019-10-12,34,8255.54,8397.45,8248.34,8300.22,37761.514,,67.75785782240497,26.440111834965663,-1
2019-10-13,35,8300.31,8456.0,8137.3,8274.66,43820.913,,65.8672482638212,23.91928430559922,-1
2019-10-14,36,8274.33,8381.77,8205.02,8346.05,61999.821,,64.17403020355394,13.18881389463189,-1
2019-10-15,37,8346.31,8408.62,8080.0,8160.01,86246.749,,62.9818345826041,13.18881389463189,-1
2019-10-16,38,8160.55,8184.0,7900.24,7992.21,70434.452,,62.327483953282226,13.081037109148866,-1
2019-10-17,39,7994.76,8124.63,7930.0,8069.2,58354.602,,61.73641686997659,13.081037109148866,-1
2019-10-18,40,8069.41,8117.3,7812.0,7943.94,75251.352,,61.46202278912578,13.081037109148866,-1
2019-10-19,41,7945.57,8108.54,7852.12,7947.13,78024.395,,61.213072992453235,13.081037109148866,-1
2019-10-20,42,7947.78,8300.5,7871.17,8218.23,78663.915,,59.482052984452345,12.424462170655064,-1
2019-10-21,43,8218.23,8334.57,8150.0,8201.74,59928.516,,57.65992337945138,12.424462170655064,-1
2019-10-22,44,8201.0,8290.0,8000.0,8020.89,69506.88,,56.4719583992445,12.424462170655064,-1
2019-10-23,45,8020.68,8047.78,7172.76,7465.0,108484.139,,57.007670260739346,20.240138940752193,-1
2019-10-24,46,7465.18,7495.81,7337.44,7411.35,66719.534,,57.497574671212995,20.240138940752193,-1
2019-10-25,47,7410.07,8800.0,7359.0,8650.0,165118.926,,53.14234995657336,20.37518875886196,-1
2019-10-26,48,8650.0,10408.48,8626.89,9232.22,248161.161,,51.77441193504213,36.80878026805845,-1
2019-10-27,49,9234.75,9803.83,9066.07,9533.32,163544.019,,50.51931752184561,36.80878026805845,-1
2019-10-28,50,9534.37,9930.13,9156.03,9217.36,155599.975,,49.51681604493201,36.80878026805845,-1
2019-10-29,51,9215.78,9569.1,9070.0,9415.02,124703.014,,48.367348285862455,36.80878026805845,1
2019-10-30,52,9415.02,9418.65,8975.72,9165.3,98464.858,,47.05454483613134,36.80878026805845,1
2019-10-31,53,9163.4,9438.64,8933.0,9150.0,98836.044,,45.72655263706118,36.80878026805845,-1
2019-11-01,54,9149.88,9280.0,9050.27,9231.01,87256.949,,44.50333077378468,36.80878026805845,-1
2019-11-02,55,9231.7,9375.0,9194.98,9287.8,56602.055,,43.5358104689175,36.80878026805845,-1
2019-11-03,56,9288.96,9366.69,9073.0,9197.88,75612.722,,42.24937156439126,36.80878026805845,-1
2019-11-04,57,9197.86,9550.0,9126.01,9395.46,90433.357,,41.39710078261431,36.80878026805845,-1
2019-11-05,58,9395.47,9457.13,9164.33,9313.2,113738.226,,40.61037642047719,36.80878026805845,-1
2019-11-06,59,9313.1,9450.0,9259.48,9343.6,73767.911,,39.883838990047074,36.80878026805845,-1
2019-11-07,60,9344.29,9381.93,9091.2,9219.64,77389.569,,38.581593586673606,36.80878026805845,-1
2019-11-08,61,9221.63,9259.3,8669.85,8775.03,151851.16,,36.02959919374627,36.80878026805845,-1
2019-11-09,62,8775.6,8878.0,8727.0,8811.15,66846.392,,33.670188724637825,36.80878026805845,-1
2019-11-10,63,8811.3,9187.0,8760.0,9041.31,91099.197,,32.28489153820208,36.80878026805845,-1
2019-11-11,64,9041.31,9072.91,8611.11,8728.93,113373.762,,30.538009331188487,36.80878026805845,-1
2019-11-12,65,8729.89,8889.06,8552.12,8817.0,107520.546,,28.73862644604496,34.61122331217542,-1
2019-11-13,66,8817.94,8838.0,8712.0,8774.76,58585.811,,27.07313212983278,34.32653364461364,-1
2019-11-14,67,8774.78,8798.06,8581.39,8642.25,87099.995,,25.107221765265226,19.581236880689417,-1
2019-11-15,68,8642.47,8780.0,8380.0,8473.27,145602.497,,23.905113355564517,16.931938768321135,-1
2019-11-16,69,8473.3,8540.54,8435.0,8491.06,48657.04,,22.791726070038884,16.931938768321135,1
2019-11-17,70,8491.18,8631.0,8355.78,8504.04,72152.266,,21.42608374125906,13.537831215606461,1
2019-11-18,71,8504.13,8504.71,8050.0,8183.26,123477.142,,21.092096975049582,17.045454545454543,-1
2019-11-19,72,8183.3,8212.87,8000.0,8131.7,110854.03,,20.921230681305314,17.663817663817664,-1
2019-11-20,73,8131.12,8230.0,8037.5,8094.05,87352.38,,20.690547787675325,17.663817663817664,-1
2019-11-21,74,8094.57,8131.51,7432.0,7621.9,180289.189,,21.91977686883528,24.944058414792135,-1
2019-11-22,75,7621.89,7765.03,6762.73,7262.72,371213.951,,24.067378499774374,34.172943461946595,-1
2019-11-23,76,7261.89,7345.84,7073.38,7305.99,139643.311,,26.05856210972028,34.172943461946595,-1
2019-11-24,77,7306.19,7324.92,6855.91,6900.86,183676.078,,28.176253318049778,33.22346802006923,-1
2019-11-25,78,6899.77,7386.29,6510.19,7102.03,333987.914,,30.517784138883282,36.83928574785138,-1
2019-11-26,79,7103.34,7340.06,7011.9,7150.0,193962.094,,32.689433227159775,36.14042682788704,-1
2019-11-27,80,7149.97,7669.2,6850.0,7506.77,297842.994,,33.374154774048925,34.86618780949796,-1
2019-11-28,81,7506.78,7643.0,7356.0,7415.79,175000.609,,34.00930531513259,34.10559469561114,-1
2019-11-29,82,7417.0,7850.0,7394.57,7736.66,185819.186,,33.807503393600854,34.10559469561114,-1
2019-11-30,83,7737.23,7800.0,7444.18,7542.93,141966.392,,33.62028405493777,32.891016549980435,-1
2019-12-01,84,7541.08,7541.08,7222.29,7387.38,196291.252,,33.88020684493314,30.895920255856613,-1
2019-12-02,85,7388.0,7416.75,7137.74,7291.0,143966.953,,34.277995548764544,30.333348753175464,-1
2019-12-03,86,7291.74,7404.42,7231.35,7290.86,84699.47,,34.64710567387149,29.890679862165825,-1
2019-12-04,87,7290.85,7800.0,7070.0,7191.0,274879.481,,33.402401944935455,29.689755326781427,-1
2019-12-05,88,7189.42,7480.0,7142.54,7384.99,176315.108,,32.24732042601898,28.01378227206713,-1
2019-12-06,89,7384.66,7602.44,7295.73,7522.1,136218.707,,30.72212567911767,28.01378227206713,-1
2019-12-07,90,7521.13,7616.91,7467.44,7487.2,83208.782,,29.25243965421907,26.56720990482787,-1
2019-12-08,91,7487.19,7559.39,7376.0,7508.2,84380.338,,28.173485957310753,23.33497736460657,-1
2019-12-09,92,7507.87,7676.48,7269.05,7337.49,136440.176,,26.700957687525765,23.33497736460657,-1
